X_train,y_train
"[59514, 34378, 226, 5783, 32, 200, 12, 3647, 4, 1223, 1628, 117, 4923, 23608, 3, 1789, 2942, 20059, 301, 548, 301, 331, 30, 117, 4923, 12, 4, 1528, 668, 3, 5734, 212, 9319, 30, 4, 4923, 57, 5487, 30, 4, 6, 32712, 25, 7243, 1160, 12, 621, 42, 4, 1156, 3009, 3, 0]","[59514, 60, 7418, 5244, 8234, 740, 4993, 8, 6471, 5, 2218, 29, 193, 2220, 742, 3, 4366, 14237, 14, 6, 16600, 301, 548, 301, 331, 5, 193, 24275, 17, 8, 668, 6142, 3, 33640, 36, 81, 6, 5411, 2709, 9376, 22, 24275, 59, 36, 19, 9376, 153, 402, 29033, 13774, 402, 29033, 416, 27, 8, 4034, 4888, 3, 0]"
"[59514, 47591, 12, 9842, 19634, 9, 0]","[59514, 577, 5891, 2, 3184, 16, 2542, 5, 1710, 0]"
"[59514, 1211, 3, 49, 9409, 1211, 3, 29140, 817, 3124, 817, 28149, 139, 33712, 25218, 0]","[59514, 1211, 3, 49, 9409, 1211, 3, 29140, 817, 3124, 817, 550, 7032, 5821, 7907, 12649, 0]"
"[59514, 596, 1682, 0]","[59514, 4194, 442, 0]"
"[59514, 135, 607, 2054, 2, 3482, 10, 2843, 21048, 26, 67, 478, 0]","[59514, 4322, 5, 30508, 2, 5, 4403, 11, 5, 6676, 27, 66, 478, 0]"
"[59514, 660, 25113, 24604, 6259, 1202, 489, 0]","[59514, 2871, 39522, 16, 47115, 9, 0]"
"[59514, 935, 15546, 9, 2, 57, 97, 10717, 2, 69, 77, 17358, 15447, 7, 4, 457, 12204, 3, 488, 552, 4, 25810, 242, 935, 15546, 9, 6, 22031, 2, 27439, 176, 4, 271, 24274, 12, 4, 1684, 7, 4, 36354, 5397, 10, 4044, 30, 1920, 7, 4, 36354, 5397, 3, 21300, 1684, 1165, 4, 36354, 5397, 791, 44091, 349, 3, 35, 36354, 5397, 161, 3875, 208, 4, 18436, 18, 4, 349, 411, 10014, 3, 2167, 27439, 176, 4, 1684, 271, 24274, 1348, 55, 11601, 12, 4, 36953, 21, 31713, 3, 21300, 761, 64, 4, 349, 411, 36953, 7, 4, 6626, 10, 55, 86, 3875, 12, 4, 29911, 1557, 3, 488, 552, 4, 25810, 4450, 4, 349, 17474, 2, 27439, 176, 4, 1950, 7, 4, 271, 21, 30377, 0]","[59514, 935, 15546, 9, 2, 59, 97, 25443, 402, 29033, 583, 84, 772, 25443, 2, 295, 34, 17794, 31301, 5, 8, 445, 5, 14, 6, 584, 21, 4877, 3, 315, 12814, 19, 22560, 164, 16, 24454, 20, 6, 6982, 15546, 9, 2, 29762, 265, 16, 203, 21672, 17, 8, 4789, 5, 8, 251, 15259, 11, 4714, 265, 36, 19, 1426, 5, 8, 251, 15259, 3, 3332, 8103, 265, 88, 17, 4789, 5, 8, 251, 15259, 23, 8550, 685, 282, 709, 8, 5177, 3, 80, 251, 15259, 697, 9515, 31, 19, 13690, 31, 8, 9649, 8, 65, 17, 5177, 3, 6643, 29762, 265, 16, 203, 21672, 5, 4789, 626, 6, 358, 66, 29, 88, 88, 42988, 17, 14, 25, 11700, 92, 21, 4103, 3, 582, 429, 28684, 5, 0]"
"[59514, 9232, 244, 552, 4, 293, 271, 19522, 208, 4, 1675, 19584, 12, 4, 1684, 7, 4, 6761, 3, 1492, 552, 533, 7, 254, 208, 4, 1254, 5311, 2, 591, 3740, 254, 1684, 3, 2167, 3875, 10933, 254, 10, 6525, 4, 6761, 2, 591, 11012, 4, 1158, 12871, 761, 10, 256, 444, 12, 552, 2076, 12, 4, 36953, 3, 0]","[59514, 26750, 2348, 16, 203, 3690, 17558, 31, 8, 1675, 32327, 17, 4789, 5, 14, 6, 259, 3, 1570, 20, 6, 3126, 2, 28001, 41, 859, 182, 203, 31, 8, 1981, 5, 2615, 8856, 2, 1692, 22401, 265, 41, 859, 17, 4789, 3, 6643, 2, 14436, 41, 682, 9515, 36, 1380, 11, 4674, 265, 14, 6, 259, 2, 1692, 2482, 9515, 19, 2243, 19118, 11, 12500, 41, 352, 27, 4727, 17, 14, 6, 4103, 3, 0]"
"[59514, 1398, 2041, 0]","[59514, 1398, 2041, 0]"
"[59514, 1590, 4490, 323, 0]","[59514, 1590, 4490, 323, 2061, 21715, 738, 0]"
